bucket,query_value,actual_frequency,estimated_frequency,selectivity_error
4,336660,1.0,1.0,0.0
4,337274,1.0,1.0,0.0
4,339488,1.0,1.0,0.0
4,339625,1.0,1.0,0.0
4,340235,1.0,1.0,0.0
4,340662,1.0,1.0,0.0
4,341009,1.0,1.0,0.0
4,341891,1.0,1.0,0.0
4,342151,1.0,1.0,0.0
4,343434,1.0,1.0,0.0
4,345097,1.0,1.0,0.0
4,345113,1.0,1.0,0.0
4,346245,1.0,1.0,0.0
4,346960,1.0,1.0,0.0
4,347179,1.0,1.0,0.0
4,347404,1.0,1.0,0.0
4,347635,1.0,1.0,0.0
4,347850,1.0,1.0,0.0
4,348300,1.0,1.0,0.0
4,348638,1.0,1.0,0.0
4,348760,1.0,1.0,0.0
4,349496,1.0,1.0,0.0
4,350228,1.0,1.0,0.0
4,350530,1.0,1.0,0.0
4,350830,1.0,1.0,0.0
4,352120,1.0,1.0,0.0
4,352371,1.0,1.0,0.0
4,352702,1.0,1.0,0.0
4,353295,1.0,1.0,0.0
4,353594,1.0,1.0,0.0
4,353618,1.0,1.0,0.0
4,354623,1.0,1.0,0.0
4,358512,1.0,1.0,0.0
4,359479,1.0,1.0,0.0
4,359521,1.0,1.0,0.0
4,359597,1.0,1.0,0.0
4,359988,1.0,1.0,0.0
4,360292,1.0,1.0,0.0
4,361906,1.0,1.0,0.0
4,361999,1.0,1.0,0.0
4,362251,1.0,1.0,0.0
4,363339,1.0,1.0,0.0
4,364330,1.0,1.0,0.0
4,364567,1.0,1.0,0.0
4,365360,1.0,1.0,0.0
4,365843,1.0,1.0,0.0
4,365957,1.0,1.0,0.0
4,366625,1.0,1.0,0.0
4,367046,1.0,1.0,0.0
4,367827,1.0,1.0,0.0
4,368732,1.0,1.0,0.0
4,369782,1.0,1.0,0.0
4,370804,1.0,1.0,0.0
4,371332,1.0,1.0,0.0
4,371572,1.0,1.0,0.0
4,372148,1.0,1.0,0.0
4,372475,1.0,1.0,0.0
4,372584,1.0,1.0,0.0
4,372712,1.0,1.0,0.0
4,373331,1.0,1.0,0.0
4,373434,1.0,1.0,0.0
4,373781,1.0,1.0,0.0
4,375241,1.0,1.0,0.0
4,376165,1.0,1.0,0.0
4,376215,1.0,1.0,0.0
4,376713,1.0,1.0,0.0
4,376766,1.0,1.0,0.0
4,376996,1.0,1.0,0.0
4,377516,1.0,1.0,0.0
4,377785,1.0,1.0,0.0
4,378024,1.0,1.0,0.0
4,378904,1.0,1.0,0.0
4,379047,1.0,1.0,0.0
4,379112,1.0,1.0,0.0
4,380718,1.0,1.0,0.0
4,381198,1.0,1.0,0.0
4,381676,1.0,1.0,0.0
4,382841,1.0,1.0,0.0
4,383755,1.0,1.0,0.0
4,383758,1.0,1.0,0.0
4,384457,1.0,1.0,0.0
4,385244,1.0,1.0,0.0
4,387795,1.0,1.0,0.0
4,389158,1.0,1.0,0.0
4,389188,1.0,1.0,0.0
4,389230,1.0,1.0,0.0
4,390795,1.0,1.0,0.0
4,391668,1.0,1.0,0.0
4,391700,1.0,1.0,0.0
4,393484,1.0,1.0,0.0
4,395616,1.0,1.0,0.0
4,396044,1.0,1.0,0.0
4,396755,1.0,1.0,0.0
4,397448,1.0,1.0,0.0
4,399511,1.0,1.0,0.0
4,399713,1.0,1.0,0.0
4,400750,1.0,1.0,0.0
4,401343,1.0,1.0,0.0
4,402103,1.0,1.0,0.0
4,403696,1.0,1.0,0.0
4,404035,1.0,1.0,0.0
4,408358,1.0,1.0,0.0
4,408598,1.0,1.0,0.0
4,412953,1.0,1.0,0.0
4,414036,1.0,1.0,0.0
4,415714,1.0,1.0,0.0
4,416984,1.0,1.0,0.0
4,418006,1.0,1.0,0.0
4,418183,1.0,1.0,0.0
4,418946,1.0,1.0,0.0
4,424595,1.0,1.0,0.0
4,425468,1.0,1.0,0.0
4,428268,1.0,1.0,0.0
4,429761,1.0,1.0,0.0
4,430504,1.0,1.0,0.0
4,431920,1.0,1.0,0.0
4,432253,1.0,1.0,0.0
4,432858,1.0,1.0,0.0
4,436368,1.0,1.0,0.0
4,437913,1.0,1.0,0.0
4,437959,1.0,1.0,0.0
4,440294,1.0,1.0,0.0
4,441467,1.0,1.0,0.0
5,444114,1.0,1.0,0.0
5,444749,1.0,1.0,0.0
5,448848,1.0,1.0,0.0
5,452632,1.0,1.0,0.0
5,453196,1.0,1.0,0.0
5,453220,1.0,1.0,0.0
5,458153,1.0,1.0,0.0
5,465816,1.0,1.0,0.0
5,468475,1.0,1.0,0.0
5,470378,1.0,1.0,0.0
5,472969,1.0,1.0,0.0
5,472974,1.0,1.0,0.0
5,480814,1.0,1.0,0.0
5,483306,1.0,1.0,0.0
5,483458,1.0,1.0,0.0
5,485319,1.0,1.0,0.0
5,487127,1.0,1.0,0.0
5,488917,1.0,1.0,0.0
5,497629,1.0,1.0,0.0
5,498411,1.0,1.0,0.0
5,499689,1.0,1.0,0.0
5,500492,1.0,1.0,0.0
5,500774,1.0,1.0,0.0
5,500901,1.0,1.0,0.0
5,501236,1.0,1.0,0.0
5,501891,1.0,1.0,0.0
5,502635,1.0,1.0,0.0
5,505219,1.0,1.0,0.0
5,506288,1.0,1.0,0.0
5,506879,1.0,1.0,0.0
5,507421,1.0,1.0,0.0
5,508321,1.0,1.0,0.0
5,508595,1.0,1.0,0.0
5,509663,1.0,1.0,0.0
5,509848,1.0,1.0,0.0
5,510987,1.0,1.0,0.0
5,511691,1.0,1.0,0.0
5,511732,1.0,1.0,0.0
5,512265,1.0,1.0,0.0
5,512620,1.0,1.0,0.0
5,516957,1.0,1.0,0.0
5,517241,1.0,1.0,0.0
5,518319,1.0,1.0,0.0
5,518323,1.0,1.0,0.0
5,518631,1.0,1.0,0.0
5,518819,1.0,1.0,0.0
5,519440,1.0,1.0,0.0
5,521411,1.0,1.0,0.0
5,524042,1.0,1.0,0.0
5,524093,1.0,1.0,0.0
5,524316,1.0,1.0,0.0
5,524717,1.0,1.0,0.0
5,525168,1.0,1.0,0.0
5,525377,1.0,1.0,0.0
5,527330,1.0,1.0,0.0
5,527832,1.0,1.0,0.0
5,528146,1.0,1.0,0.0
5,530624,1.0,1.0,0.0
5,531540,1.0,1.0,0.0
5,533119,1.0,1.0,0.0
5,533390,1.0,1.0,0.0
5,536988,1.0,1.0,0.0
5,538051,1.0,1.0,0.0
5,538491,1.0,1.0,0.0
5,538912,1.0,1.0,0.0
5,541118,1.0,1.0,0.0
5,541500,1.0,1.0,0.0
5,541609,1.0,1.0,0.0
5,543602,1.0,1.0,0.0
5,544420,1.0,1.0,0.0
5,544953,1.0,1.0,0.0
5,546375,1.0,1.0,0.0
5,546674,1.0,1.0,0.0
5,547680,1.0,1.0,0.0
5,547742,1.0,1.0,0.0
5,548257,1.0,1.0,0.0
5,548313,1.0,1.0,0.0
5,548443,1.0,1.0,0.0
5,548962,1.0,1.0,0.0
5,549104,1.0,1.0,0.0
5,550189,1.0,1.0,0.0
5,550539,1.0,1.0,0.0
5,552254,1.0,1.0,0.0
5,552420,1.0,1.0,0.0
5,553035,1.0,1.0,0.0
5,553685,1.0,1.0,0.0
5,554979,1.0,1.0,0.0
5,555241,1.0,1.0,0.0
5,556414,1.0,1.0,0.0
5,556649,1.0,1.0,0.0
5,556906,1.0,1.0,0.0
5,558850,1.0,1.0,0.0
5,559958,1.0,1.0,0.0
5,560508,1.0,1.0,0.0
5,560680,1.0,1.0,0.0
5,561151,1.0,1.0,0.0
5,561848,1.0,1.0,0.0
5,561913,1.0,1.0,0.0
5,561972,1.0,1.0,0.0
5,562152,1.0,1.0,0.0
5,562668,1.0,1.0,0.0
5,563884,1.0,1.0,0.0
5,567569,1.0,1.0,0.0
5,568086,1.0,1.0,0.0
5,568294,1.0,1.0,0.0
5,568388,1.0,1.0,0.0
5,568645,1.0,1.0,0.0
5,570208,1.0,1.0,0.0
5,570297,1.0,1.0,0.0
5,570546,1.0,1.0,0.0
5,570629,1.0,1.0,0.0
